Stkcd,Date,Clpr
835,2020/6/29,2.63
835,2020/6/30,2.5
971,2019/4/30,3.53
971,2019/5/6,3.35
971,2019/5/7,3.18
971,2019/5/8,3.07
971,2019/5/9,2.92
971,2019/5/10,2.98
971,2019/5/13,2.83
971,2019/5/14,2.72
971,2019/5/15,2.86
971,2019/5/16,2.89
971,2019/5/17,2.75
971,2019/5/20,2.61
971,2019/5/21,2.54
971,2019/5/22,2.63
971,2019/5/23,2.51
971,2019/5/24,2.38
971,2019/5/27,2.44
971,2019/5/28,2.44
971,2019/5/29,2.32
971,2019/5/30,2.22
971,2019/5/31,2.22
971,2019/6/3,2.11
971,2019/6/4,2.07
971,2019/6/5,2.07
971,2019/6/6,1.98
971,2019/6/10,1.92
971,2019/6/11,1.99
971,2019/6/12,2.03
971,2019/6/13,2.13
971,2019/6/14,2.08
971,2019/6/17,2.08
971,2019/6/18,2.18
971,2019/6/19,2.17
971,2019/6/20,2.12
971,2019/6/21,2.23
971,2019/6/24,2.31
971,2019/6/25,2.31
971,2019/6/26,2.43
971,2019/6/27,2.47
971,2019/6/28,2.49
971,2019/7/1,2.61
971,2019/7/2,2.7
971,2019/7/3,2.57
971,2019/7/4,2.58
971,2019/7/5,2.5
971,2019/7/8,2.38
971,2019/7/9,2.29
971,2019/7/10,2.4
971,2019/7/11,2.34
971,2019/7/12,2.35
971,2019/7/15,2.23
971,2019/7/16,2.19
971,2019/7/17,2.1
971,2019/7/18,2.13
971,2019/7/19,2.16
971,2019/7/22,2.05
971,2019/7/23,2.15
971,2019/7/24,2.25
971,2019/7/25,2.22
971,2019/7/26,2.24
971,2019/7/29,2.16
971,2019/7/30,2.14
971,2019/7/31,2.12
971,2019/8/1,2.12
971,2019/8/2,2.08
971,2019/8/5,2.07
971,2019/8/6,1.99
971,2019/8/7,2.02
971,2019/8/8,2
971,2019/8/9,2.01
971,2019/8/12,2.01
971,2019/8/13,2.11
971,2019/8/14,2.08
971,2019/8/15,2.06
971,2019/8/16,2.1
971,2019/8/19,2.14
971,2019/8/20,2.11
971,2019/8/21,2.09
971,2019/8/22,2.14
971,2019/8/23,2.12
971,2019/8/26,2.07
971,2019/8/27,2.11
971,2019/8/28,2.09
971,2019/8/29,2.05
971,2019/8/30,2.04
971,2019/9/2,2.08
971,2019/9/3,2.11
971,2019/9/4,2.1
971,2019/9/5,2.12
971,2019/9/6,2.11
971,2019/9/9,2.22
971,2019/9/10,2.18
971,2019/9/11,2.17
971,2019/9/12,2.17
971,2019/9/16,2.19
971,2019/9/17,2.14
971,2019/9/18,2.14
971,2019/9/19,2.12
971,2019/9/20,2.15
971,2019/9/23,2.17
971,2019/9/24,2.16
971,2019/9/25,2.09
971,2019/9/26,2
971,2019/9/27,1.99
971,2019/9/30,2
971,2019/10/8,2
971,2019/10/9,2.01
971,2019/10/10,2.01
971,2019/10/11,2.01
