date,美国:联邦基金利率(日)
2018-09-04,1.92
2018-09-05,1.92
2018-09-06,1.92
2018-09-07,1.92
2018-09-08,1.92
2018-09-09,1.92
2018-09-10,1.92
2018-09-11,1.92
2018-09-12,1.92
2018-09-13,1.92
2018-09-14,1.92
2018-09-15,1.92
2018-09-16,1.92
2018-09-17,1.92
2018-09-18,1.93
2018-09-19,1.93
2018-09-20,1.93
2018-09-21,2.18
2018-09-22,2.18
2018-09-23,2.18
2018-09-24,2.18
2018-09-25,2.18
2018-09-26,2.18
2018-09-27,2.18
2018-09-28,2.18
2018-09-29,2.18
2018-09-30,2.18
2018-10-01,2.18
2018-10-02,2.18
2018-10-03,2.18
2018-10-04,2.18
2018-10-05,2.19
2018-10-06,2.19
2018-10-07,2.19
2018-10-08,2.19
2018-10-09,2.20
2018-10-10,2.20
2018-10-11,2.20
2018-10-12,2.20
2018-10-13,2.20
2018-10-14,2.20
2018-10-15,2.20
2018-10-16,2.20
2018-10-17,2.19
2018-10-18,2.20
2018-10-19,2.20
2018-10-20,2.20
2018-10-21,2.20
2018-10-22,2.19
2018-10-23,2.19
2018-10-24,2.20
2018-10-25,2.20
2018-10-26,2.20
2018-10-27,2.20
2018-10-28,2.20
2018-10-29,2.20
2018-10-30,2.20
2018-10-31,2.20
2018-11-01,2.20
2018-11-02,2.20
2018-11-03,2.20
2018-11-04,2.20
2018-11-05,2.20
2018-11-06,2.20
2018-11-07,2.19
2018-11-08,2.20
2018-11-09,2.20
2018-11-10,2.20
2018-11-11,2.19
2018-11-12,2.20
2018-11-13,2.19
2018-11-14,2.19
2018-11-15,2.19
2018-11-16,2.19
2018-11-17,2.20
2018-11-18,2.20
2018-11-19,2.20
2018-11-20,2.40
2018-11-21,2.40
2018-11-22,2.40
2018-11-23,2.40
2018-11-24,2.40
2018-11-25,2.40
2018-11-26,2.40
2018-11-27,2.40
,
数据来源：Wind,
